"","motif","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","motif.name"
"438","MA0599.1",1.80987107487558e-103,0.774412542928584,0.706,0.436,1.14564839039624e-100,"Club cells_1","KLF5"
"439","MA0599.1",8.25286710763685e-17,1.90828208367324,0.952,0.476,5.22406487913413e-14,"Endothelial cells","KLF5"
"440","MA0599.1",2.77988593047715e-33,0.731706572461601,0.716,0.465,1.75966779399204e-30,"Club cell_2","KLF5"
"441","MA0600.2",5.7975576663131e-118,3.96457086237964,0.926,0.477,3.66985400277619e-115,"NFIB high_NE","RFX2"
"442","MA0600.2",4.98106688753575e-43,2.47111536426743,0.736,0.481,3.15301533981013e-40,"NE_6","RFX2"
"443","MA0600.2",9.73699964272569e-18,0.667255978247439,0.614,0.483,6.16352077384536e-15,"NE_4","RFX2"
"444","MA0605.2",6.1011786834094e-16,1.91574466405156,0.929,0.454,3.86204610659815e-13,"Endothelial cells","ATF3"
"445","MA0605.2",1.36491392380734e-60,2.45925382571214,0.646,0.429,8.63990513770043e-58,"NE_2","ATF3"
"446","MA0605.2",1.37601931920673e-06,0.749570882869467,0.517,0.45,0.000871020229057858,"NE_4","ATF3"
"447","MA0605.2",8.70909306188138e-13,3.6565126963453,0.968,0.455,5.51285590817092e-10,"Stromal cells","ATF3"
"448","MA0609.2",1.85682696974183e-19,4.39428924876876,0.976,0.458,1.17537147184658e-16,"Endothelial cells","CREM"
"449","MA0609.2",1.62294847543407e-37,1.59507583955855,0.605,0.439,1.02732638494976e-34,"NE_2","CREM"
"450","MA0609.2",1.58996218106308e-12,4.56839039941792,0.903,0.459,1.00644606061293e-09,"Stromal cells","CREM"
"451","MA0610.1",8.47565116457609e-40,0.567212479967764,0.661,0.479,5.36508718717666e-37,"NE_3","DMRT3"
"452","MA0612.2",2.05202493590954e-08,0.721893555232376,0.661,0.478,1.29893178443074e-05,"NE_7","EMX1"
"453","MA0612.2",6.55729765054461e-23,1.22835404122377,0.658,0.471,4.15076941279474e-20,"NE_6","EMX1"
"454","MA0612.2",3.77731568765362e-06,1.28825683517704,0.67,0.479,0.00239104083028474,"NE_8","EMX1"
"455","MA0612.2",9.15092550129837e-72,1.97124985700415,0.827,0.467,5.79253584232187e-69,"NFIB high_NE","EMX1"
"456","MA0613.1",2.94083258574382e-12,1.12093177599015,0.881,0.456,1.86154702677584e-09,"Endothelial cells","FOXG1"
"457","MA0613.1",7.65011935144399e-37,2.86127567667154,0.826,0.45,4.84252554946405e-34,"Club cells_3","FOXG1"
"458","MA0613.1",4.34383715603641e-104,1.90651655666442,0.714,0.424,2.74964891977105e-101,"NE_3","FOXG1"
"459","MA0613.1",4.21581547448013e-14,2.90172771485146,0.579,0.451,2.66861119534592e-11,"NE_6","FOXG1"
"460","MA0616.2",1.03195287828894e-06,0.711500241123205,0.59,0.491,0.0006532261719569,"NE_6","HES2"
"461","MA0616.2",5.21837245332784e-09,0.811840349346826,0.728,0.495,3.30322976295652e-06,"Cilliated cells","HES2"
"462","MA0618.1",2.81373448249473e-16,1.04512419366064,0.768,0.504,1.78109392741916e-13,"NE_7","LBX1"
"463","MA0618.1",1.91257412855143e-63,1.7238203388035,0.853,0.494,1.21065942337306e-60,"NFIB high_NE","LBX1"
"464","MA0618.1",3.56800130036084e-05,0.969275051412303,0.68,0.507,0.0225854482312841,"NE_8","LBX1"
"465","MA0618.1",2.88300038728544e-19,1.36382936863933,0.658,0.5,1.82493924515169e-16,"NE_6","LBX1"
"466","MA0620.3",1.69446435235987e-14,1.62152774089666,0.606,0.477,1.0725959350438e-11,"NE_6","MITF"
"467","MA0620.3",6.11374618397873e-67,0.767940164481123,0.696,0.456,3.87000133445853e-64,"NE_3","MITF"
"468","MA0620.3",0.000730887448586796,1.07530107535893,0.534,0.479,0.462651754955442,"NE_4","MITF"
"469","MA0623.2",6.94047398730507e-22,1.34975120144284,0.802,0.508,4.39332003396411e-19,"NE_7","NEUROG1"
"470","MA0623.2",7.76593288690868e-36,1.94732941181977,0.762,0.503,4.9158355174132e-33,"NFIB high_NE","NEUROG1"
"471","MA0625.1",1.00549290727744e-18,1.26855575200975,0.578,0.462,6.3647701030662e-16,"NE_3","NFATC3"
"472","MA0625.1",3.25651031895388e-10,2.79407797098014,0.871,0.474,2.0613710318978e-07,"Stromal cells","NFATC3"
"473","MA0627.2",1.16033635290025e-09,0.892402587878298,0.695,0.49,7.34492911385857e-07,"NE_7","POU2F3"
"474","MA0627.2",1.12140519231193e-10,1.60616909431128,0.579,0.485,7.09849486733449e-08,"NE_4","POU2F3"
"475","MA0627.2",1.75766170522643e-41,0.787884622177397,0.785,0.482,1.11259985940833e-38,"NFIB high_NE","POU2F3"
"476","MA0628.1",6.21661971659535e-41,0.633586627624239,0.667,0.474,3.93512028060486e-38,"NE_3","POU6F1"
"477","MA0628.1",1.1849880909319e-16,1.13260422040998,0.632,0.489,7.50097461559892e-14,"NE_6","POU6F1"
"478","MA0628.1",2.18778032437225e-40,1.21161470389303,0.785,0.485,1.38486494532763e-37,"NFIB high_NE","POU6F1"
"479","MA0628.1",4.8746236241281e-11,0.593970741603842,0.729,0.493,3.08563675407308e-08,"NE_7","POU6F1"
"480","MA0630.1",3.67791706610677e-12,0.66043153051162,0.729,0.5,2.32812150284559e-09,"NE_7","SHOX"
"481","MA0630.1",2.80463391221474e-56,2.00283163888966,0.796,0.492,1.77533326643193e-53,"NFIB high_NE","SHOX"
"482","MA0630.1",5.89364191897497e-05,0.967818239507087,0.67,0.502,0.0373067533471115,"NE_8","SHOX"
"483","MA0630.1",1.737305564318e-24,1.32565376070954,0.686,0.493,1.0997144222133e-21,"NE_6","SHOX"
"484","MA0632.2",3.95347038508924e-12,2.06212262495811,0.881,0.47,2.50254675376149e-09,"Endothelial cells","TCFL5"
"485","MA0632.2",9.82628132325514e-42,1.10237984031851,0.768,0.46,6.2200360776205e-39,"NFIB high_NE","TCFL5"
"486","MA0632.2",9.6949687429624e-08,0.760364233828426,0.674,0.47,6.1369152142952e-05,"Cilliated cells","TCFL5"
"487","MA0632.2",9.97795696794588e-09,1.93574207689882,0.871,0.471,6.31604676070974e-06,"Stromal cells","TCFL5"
"488","MA0634.1",1.08075129435247e-05,0.650035905171299,0.7,0.523,0.00684115569325115,"NE_8","ALX3"
"489","MA0634.1",2.49687093361049e-26,1.21176048573585,0.708,0.514,1.58051930097544e-23,"NE_6","ALX3"
"490","MA0634.1",1.32423632280977e-42,0.53149256440408,0.735,0.505,8.38241592338582e-40,"NE_5","ALX3"
"491","MA0634.1",7.99106687614495e-65,1.66415196469926,0.873,0.51,5.05834533259975e-62,"NFIB high_NE","ALX3"
"492","MA0634.1",1.84278099787993e-15,0.844592532095388,0.774,0.52,1.166480371658e-12,"NE_7","ALX3"
"493","MA0635.1",1.81795001333914e-13,0.566560695636251,0.652,0.488,1.15076235844368e-10,"NFIB high_NE","BARHL2"
"494","MA0636.1",1.51038505392192e-12,1.68121533036801,0.592,0.474,9.56073739132577e-10,"NE_6","BHLHE41"
"495","MA0636.1",0.0056667937800297,0.834345538079137,0.59,0.48,1,"NE_8","BHLHE41"
"496","MA0636.1",9.6452936050115e-06,0.580923120435362,0.714,0.48,0.00610547085197228,"Endothelial cells","BHLHE41"
"497","MA0636.1",8.6708984321686e-14,1.47130327545712,0.711,0.477,5.48867870756272e-11,"AT2 cells","BHLHE41"
"498","MA0637.1",0.00137680112220446,0.600262425997817,0.667,0.485,0.871515110355425,"Endothelial cells","CENPB"
"499","MA0638.1",4.41570901717408e-11,2.14152037391175,0.81,0.473,2.7951438078712e-08,"Endothelial cells","CREB3"
"500","MA0638.1",2.87248645457094e-08,3.36377636241631,0.839,0.473,1.8182839257434e-05,"Stromal cells","CREB3"
"501","MA0639.1",1.16763926635189e-17,2.39223880049667,0.837,0.479,7.39115655600748e-15,"Cilliated cells","DBP"
"502","MA0639.1",5.13549093701889e-26,1.19696018833178,0.815,0.475,3.25076576313296e-23,"Club cells_3","DBP"
"503","MA0639.1",6.08819472219448e-27,1.71071901773621,0.831,0.477,3.85382725914911e-24,"AT2 cells","DBP"
"504","MA0639.1",5.71136994709666e-34,3.39795203137099,0.718,0.47,3.61529717651219e-31,"Club cell_2","DBP"
"505","MA0640.2",7.43784933833446e-25,6.41007903267895,1,0.454,4.70815863116571e-22,"Endothelial cells","ELF3"
"506","MA0641.1",2.76867734307156e-25,3.05751325389109,1,0.459,1.75257275816429e-22,"Endothelial cells","ELF4"
"507","MA0642.1",5.04184764913447e-10,0.748584177846326,0.706,0.482,3.19148956190212e-07,"NE_7","EN2"
"508","MA0642.1",2.47165738732891e-107,3.16621384615894,0.901,0.469,1.5645591261792e-104,"NFIB high_NE","EN2"
"509","MA0642.1",8.53120352385502e-24,0.885950339384876,0.684,0.475,5.40025183060023e-21,"NE_6","EN2"
"510","MA0644.1",9.2328668254042e-08,0.579450215042882,0.661,0.488,5.84440470048086e-05,"NE_7","ESX1"
"511","MA0644.1",3.2190237808839e-18,1.26054847873282,0.632,0.483,2.03764205329951e-15,"NE_6","ESX1"
"512","MA0644.1",4.37850936144496e-80,2.57372000360382,0.864,0.476,2.77159642579466e-77,"NFIB high_NE","ESX1"
"513","MA0645.1",6.01014886942329e-26,1.5089971675588,1,0.461,3.80442423434494e-23,"Endothelial cells","ETV6"
"514","MA0646.1",3.12896733703656e-13,0.649506595991382,0.66,0.485,1.98063632434414e-10,"NFIB high_NE","GCM1"
"515","MA0647.1",0,3.16990663030866,0.953,0.296,0,"Club cells_1","GRHL1"
"516","MA0647.1",3.51335665596146e-155,2.81291215151219,0.956,0.369,2.2239547632236e-152,"Club cell_2","GRHL1"
"517","MA0647.1",2.11282766361251e-50,0.821005846348951,0.935,0.387,1.33741991106672e-47,"Club cells_3","GRHL1"
"518","MA0649.1",4.47694087624868e-07,1.15892904002248,0.584,0.488,0.000283390357466541,"NE_6","HEY2"
"519","MA0650.2",1.14108814789032e-08,0.72480531417688,0.655,0.498,7.22308797614569e-06,"NE_7","HOXA13"
"520","MA0650.2",9.11091435624551e-16,0.536378156488427,0.619,0.49,5.76720878750341e-13,"NE_5","HOXA13"
"521","MA0650.2",6.9456439281223e-31,0.943677536026306,0.745,0.491,4.39659260650142e-28,"NFIB high_NE","HOXA13"
"522","MA0651.1",6.33402238728812e-06,1.05196954859014,0.762,0.48,0.00400943617115338,"Endothelial cells","HOXC11"
"523","MA0651.1",1.08772406183452e-06,2.31146078537083,0.774,0.481,0.000688529331141253,"Stromal cells","HOXC11"
"524","MA0654.1",3.67791706610677e-12,0.66043153051162,0.729,0.5,2.32812150284559e-09,"NE_7","ISX"
"525","MA0654.1",5.89364191897497e-05,0.967818239507087,0.67,0.502,0.0373067533471115,"NE_8","ISX"
"526","MA0654.1",2.80463391221474e-56,2.00283163888966,0.796,0.492,1.77533326643193e-53,"NFIB high_NE","ISX"
"527","MA0654.1",1.737305564318e-24,1.32565376070954,0.686,0.493,1.0997144222133e-21,"NE_6","ISX"
"528","MA0655.1",2.22476269300722e-284,12.029450091514,0.885,0.317,1.40827478467357e-281,"NE_2","JDP2"
"529","MA0656.1",6.69009047456168e-58,2.43356871657121,0.635,0.431,4.23482727039755e-55,"NE_2","JDP2(var.2)"
"530","MA0656.1",1.23811620383584e-17,2.40759786114743,0.952,0.454,7.83727557028088e-15,"Endothelial cells","JDP2(var.2)"
"531","MA0656.1",7.30176623994991e-14,1.06304257022849,0.586,0.449,4.6220180298883e-11,"NE_6","JDP2(var.2)"
"532","MA0656.1",7.56705338601124e-14,4.00843654526809,0.968,0.455,4.78994479334511e-11,"Stromal cells","JDP2(var.2)"
"533","MA0657.1",8.29976407547615e-09,1.394697400823,0.594,0.487,5.2537506597764e-06,"NE_6","KLF13"
"534","MA0657.1",6.468006477556e-09,0.685863366313647,0.728,0.491,4.09424810029295e-06,"Cilliated cells","KLF13"
"535","MA0658.1",1.58465049478028e-09,0.761464583415939,0.678,0.492,1.00308376319592e-06,"NE_7","LHX6"
"536","MA0658.1",9.80322031864535e-62,2.12532530540751,0.827,0.482,6.2054384617025e-59,"NFIB high_NE","LHX6"
"537","MA0658.1",8.75840893280617e-19,0.994118311244805,0.636,0.487,5.5440728544663e-16,"NE_6","LHX6"
"538","MA0658.1",9.48578382438894e-07,0.749048615693635,0.7,0.494,0.00060045011608382,"NE_8","LHX6"
"539","MA0659.2",1.47551620297978e-06,1.81900151371417,0.839,0.477,0.000934001756486199,"Stromal cells","MAFG"
"540","MA0659.2",6.79784031582482e-87,1.14575051985809,0.712,0.446,4.30303291991711e-84,"NE_3","MAFG"
"541","MA0659.2",2.71646933072275e-46,0.762259837863286,0.635,0.455,1.7195250863475e-43,"NE_2","MAFG"
"542","MA0660.1",5.36426699467171e-17,10.0744532509688,0.968,0.484,3.39558100762719e-14,"Stromal cells","MEF2B"
"543","MA0660.1",3.38460883394657e-23,4.23105418179164,0.976,0.483,2.14245739188818e-20,"Endothelial cells","MEF2B"
"544","MA0661.1",3.87175940767277e-10,0.983821400796707,0.706,0.496,2.45082370505686e-07,"NE_7","MEOX1"
"545","MA0661.1",2.23037051821638e-07,2.00819544631897,0.72,0.498,0.000141182453803097,"NE_8","MEOX1"
"546","MA0661.1",4.79423636813076e-73,1.9939393126787,0.856,0.485,3.03475162102677e-70,"NFIB high_NE","MEOX1"
"547","MA0661.1",7.18957555310115e-22,1.35837756770941,0.66,0.49,4.55100132511303e-19,"NE_6","MEOX1"
"548","MA0662.1",8.59171577621097e-23,1.42736484926626,0.678,0.494,5.43855608634154e-20,"NE_6","MIXL1"
"549","MA0662.1",9.48602666157023e-74,2.01118754308473,0.867,0.49,6.00465487677396e-71,"NFIB high_NE","MIXL1"
"550","MA0662.1",7.4405347973922e-05,1.49681890954769,0.65,0.504,0.0470985852674926,"NE_8","MIXL1"
"551","MA0662.1",1.45018380667558e-15,0.594377713800216,0.774,0.5,9.17966349625641e-13,"NE_7","MIXL1"
"552","MA0663.1",8.92432434863182e-12,0.974880785236697,0.69,0.474,5.64909731268394e-09,"AT2 cells","MLX"
"553","MA0663.1",1.02066718166362e-06,0.601415983002231,0.707,0.475,0.00064608232599307,"Cilliated cells","MLX"
"554","MA0663.1",6.62818148780608e-11,1.52969505397714,0.857,0.476,4.19563888178125e-08,"Endothelial cells","MLX"
"555","MA0663.1",2.05610847467696e-18,2.08919072266171,0.644,0.468,1.30151666447052e-15,"NE_6","MLX"
"556","MA0664.1",1.64166574709063e-08,1.22308938768416,0.833,0.476,1.03917441790837e-05,"Endothelial cells","MLXIPL"
"557","MA0664.1",1.18688418919247e-15,2.07305728890335,0.612,0.469,7.51297691758833e-13,"NE_6","MLXIPL"
"558","MA0665.1",1.58847744341992e-99,1.11220770639671,0.896,0.532,1.00550622168481e-96,"NE_5","MSC"
"559","MA0665.1",9.88116652297671e-61,1.59361313654572,0.907,0.549,6.25477840904426e-58,"NFIB high_NE","MSC"
"560","MA0665.1",2.67498595299648e-167,0.568135885423929,0.887,0.499,1.69326610824677e-164,"NE_1","MSC"
"561","MA0665.1",4.98850866100917e-45,0.92307053675061,0.754,0.543,3.15772598241881e-42,"NE_4","MSC"
"562","MA0665.1",1.76378355124585e-30,2.38385910936934,0.876,0.557,1.11647498793862e-27,"NE_7","MSC"
"563","MA0665.1",4.834627059475e-07,1.00333836720233,0.77,0.561,0.000306031892864768,"NE_8","MSC"
"564","MA0666.1",2.88082736229213e-16,1.10467762796962,0.64,0.486,1.82356372033092e-13,"NE_6","MSX1"
"565","MA0666.1",1.29031074327527e-57,1.74598158053508,0.807,0.481,8.16766700493245e-55,"NFIB high_NE","MSX1"
"566","MA0666.1",9.85791998567041e-06,0.545186440614482,0.61,0.492,0.00624006335092937,"NE_7","MSX1"
"567","MA0667.1",2.86930519794028e-68,0.881347994258994,0.821,0.52,1.8162701902962e-65,"NE_5","MYF6"
"568","MA0667.1",1.10477512048561e-32,0.768877679136494,0.712,0.528,6.9932265126739e-30,"NE_4","MYF6"
"569","MA0667.1",9.16730064792476e-69,1.63502872567193,0.907,0.531,5.80290131013637e-66,"NFIB high_NE","MYF6"
"570","MA0667.1",4.60023517678169e-09,0.943341029873942,0.83,0.543,2.91194886690281e-06,"NE_8","MYF6"
"571","MA0667.1",1.1409066667525e-125,0.562481116078473,0.829,0.489,7.2219392005433e-123,"NE_1","MYF6"
"572","MA0667.1",1.54045600995154e-26,1.4626740426189,0.842,0.54,9.75108654299325e-24,"NE_7","MYF6"
"573","MA0668.1",1.87111332807458e-45,1.89102603022502,0.793,0.494,1.18441473667121e-42,"NFIB high_NE","NEUROD2"
"574","MA0668.1",1.36777664190259e-24,1.35318095908763,0.808,0.5,8.65802614324339e-22,"NE_7","NEUROD2"
"575","MA0669.1",7.04679296770288e-55,2.61177977743641,0.87,0.532,4.46061994855593e-52,"NFIB high_NE","NEUROG2"
"576","MA0669.1",9.09332526167798e-50,0.58832853937276,0.749,0.518,5.75607489064216e-47,"NE_3","NEUROG2"
"577","MA0669.1",1.28852100145855e-28,1.05529479438666,0.864,0.539,8.15633793923259e-26,"NE_7","NEUROG2"
"578","MA0670.1",2.27800325500641e-117,1.59501165646782,0.932,0.388,1.44197606041905e-114,"NFIB high_NE","NFIA"
"579","MA0670.1",4.15781852508282e-08,1.66421744386482,0.175,0.416,2.63189912637742e-05,"NE_7","NFIA"
"580","MA0670.1",7.7255915446302e-59,3.7828056709179,0.146,0.436,4.89029944775091e-56,"NE_5","NFIA"
"581","MA0671.1",2.44497816632686e-127,4.12861603676667,0.924,0.397,1.5476711792849e-124,"NFIB high_NE","NFIX"
"582","MA0671.1",1.74386568544359e-05,1.41360996131484,0.243,0.423,0.0110386697888579,"NE_7","NFIX"
"583","MA0672.1",8.30591172542882e-140,2.59824305951299,0.952,0.373,5.25764212219644e-137,"Club cell_2","NKX2-3"
"584","MA0672.1",2.3191219161467e-62,3.85425502853945,0.967,0.39,1.46800417292086e-59,"Club cells_3","NKX2-3"
"585","MA0672.1",7.62012161406012e-39,1.54621257981935,0.915,0.394,4.82353698170006e-36,"AT2 cells","NKX2-3"
"586","MA0672.1",0,1.99067935301586,0.956,0.299,0,"Club cells_1","NKX2-3"
"587","MA0673.1",5.00794503314096e-129,0.875643977900336,0.945,0.381,3.17002920597823e-126,"Club cell_2","NKX2-8"
"588","MA0673.1",1.01031853164013e-38,3.6044980802216,0.915,0.402,6.39531630528202e-36,"AT2 cells","NKX2-8"
"589","MA0673.1",0,3.09671265903486,0.95,0.31,0,"Club cells_1","NKX2-8"
"590","MA0673.1",6.00587212529573e-59,1.51247406647387,0.962,0.398,3.8017170553122e-56,"Club cells_3","NKX2-8"
"591","MA0674.1",2.17123411018667e-07,2.10204625632328,0.76,0.505,0.000137439119174816,"NE_8","NKX6-1"
"592","MA0674.1",2.53179502822893e-58,2.22529401835367,0.841,0.494,1.60262625286891e-55,"NFIB high_NE","NKX6-1"
"593","MA0674.1",1.11323869799474e-15,0.733505646024863,0.757,0.503,7.04680095830671e-13,"NE_7","NKX6-1"
"594","MA0674.1",5.10566354217356e-23,1.15914945462273,0.69,0.497,3.23188502219587e-20,"NE_6","NKX6-1"
"595","MA0675.1",1.39083120304019e-75,2.58217215372783,0.881,0.504,8.80396151524438e-73,"NFIB high_NE","NKX6-2"
"596","MA0675.1",6.7770009438202e-08,1.24391459891036,0.76,0.517,4.28984159743819e-05,"NE_8","NKX6-2"
"597","MA0675.1",3.90008887375417e-15,0.689221838090928,0.774,0.514,2.46875625708639e-12,"NE_7","NKX6-2"
"598","MA0675.1",3.0110889129869e-28,1.38579743327973,0.704,0.508,1.90601928192071e-25,"NE_6","NKX6-2"
"599","MA0678.1",1.74249952212517e-18,0.597780447819584,0.61,0.489,1.10300219750523e-15,"NE_5","OLIG2"
"600","MA0678.1",8.1151086437421e-25,1.21146118709592,0.717,0.49,5.13686377148875e-22,"NFIB high_NE","OLIG2"
"601","MA0678.1",3.99857502886937e-17,0.976233940815652,0.751,0.494,2.53109799327431e-14,"NE_7","OLIG2"
"602","MA0679.2",4.94272404576193e-06,0.527210990637554,0.71,0.512,0.0031287443209673,"NE_8","ONECUT1"
"603","MA0679.2",2.61330897436638e-14,0.538076228808764,0.729,0.509,1.65422458077392e-11,"NE_7","ONECUT1"
"604","MA0679.2",6.33417166746452e-43,1.4181405433146,0.802,0.501,4.00953066550504e-40,"NFIB high_NE","ONECUT1"
"605","MA0679.2",2.46295090016016e-18,0.959808286876693,0.674,0.504,1.55904791980138e-15,"NE_6","ONECUT1"
"606","MA0680.1",1.72687462258117e-24,0.509009183439028,0.627,0.487,1.09311163609388e-21,"NE_3","PAX7"
"607","MA0680.1",0.000183907887808426,0.634157920600878,0.762,0.502,0.116413692982734,"Endothelial cells","PAX7"
"608","MA0680.1",5.70549218125881e-13,0.680578807096847,0.671,0.496,3.61157655073683e-10,"NFIB high_NE","PAX7"
"609","MA0681.2",8.25098255631379e-64,1.52792516183876,0.858,0.483,5.22287195814663e-61,"NFIB high_NE","PHOX2B"
"610","MA0681.2",9.42842435652424e-19,0.818457089968982,0.672,0.488,5.96819261767984e-16,"NE_6","PHOX2B"
"611","MA0681.2",1.41086284036733e-06,0.514543016931039,0.672,0.495,0.000893076177952518,"NE_7","PHOX2B"
"612","MA0681.2",1.27897288073857e-29,0.755849657231746,0.665,0.483,8.09589833507512e-27,"NE_5","PHOX2B"
"613","MA0681.2",1.25130379738516e-12,2.28107912678933,0.857,0.497,7.92075303744809e-10,"Endothelial cells","PHOX2B"
"614","MA0681.2",5.51238817039899e-05,0.961381947150306,0.806,0.498,0.0348934171186256,"Stromal cells","PHOX2B"
"615","MA0682.2",9.16520676391397e-08,0.765960253981503,0.662,0.486,5.80157588155755e-05,"AT2 cells","PITX1"
"616","MA0682.2",1.71304191927197e-12,0.686670044580294,0.69,0.484,1.08435553489916e-09,"Club cells_3","PITX1"
"617","MA0683.1",2.02435061922874e-18,0.661192430780642,0.666,0.501,1.2814139419718e-15,"NE_6","POU4F2"
"618","MA0683.1",2.97914385816294e-25,0.853514854584981,0.734,0.501,1.88579806221714e-22,"NFIB high_NE","POU4F2"
"619","MA0683.1",6.71347055415975e-47,0.839569233691742,0.718,0.491,4.24962686078312e-44,"NE_5","POU4F2"
"620","MA0683.1",3.84499315801387e-08,0.844721025821072,0.75,0.508,2.43388066902278e-05,"NE_8","POU4F2"
"621","MA0683.1",3.01772050243301e-16,0.864060447411375,0.768,0.505,1.9102170780401e-13,"NE_7","POU4F2"
"622","MA0684.2",0,3.93936506580146,0.947,0.288,0,"Club cells_1","RUNX3"
"623","MA0684.2",3.2734505141809e-147,1.70795343760316,0.963,0.36,2.07209417547651e-144,"Club cell_2","RUNX3"
"624","MA0685.1",9.96083666341216e-09,0.769927910348965,0.81,0.478,6.30520960793989e-06,"Endothelial cells","SP4"
"625","MA0685.1",1.87779761826312e-13,0.748430399911451,0.711,0.475,1.18864589236055e-10,"AT2 cells","SP4"
"626","MA0685.1",9.19708924956599e-17,1.48536894918129,0.614,0.471,5.82175749497527e-14,"NE_6","SP4"
"627","MA0685.1",0.000335347463252375,0.798759097333376,0.742,0.478,0.212274944238753,"Stromal cells","SP4"
"628","MA0685.1",1.91976196092363e-15,0.969017931520508,0.837,0.475,1.21520932126466e-12,"Cilliated cells","SP4"
"629","MA0686.1",2.61328479114515e-10,3.55090017054408,0.871,0.474,1.65420927279488e-07,"Stromal cells","SPDEF"
"630","MA0686.1",2.31553096762163e-11,0.851256976302508,0.563,0.465,1.46573110250449e-08,"NE_4","SPDEF"
"631","MA0686.1",1.14049328285452e-25,5.95183935923073,1,0.472,7.21932248046913e-23,"Endothelial cells","SPDEF"
"632","MA0687.1",0.000186232469279251,15.7700285983362,0.374,0.447,0.117885153053766,"NE_4","SPIC"
"633","MA0688.1",2.04374438472208e-33,0.655272987665157,0.643,0.476,1.29369019552907e-30,"NE_3","TBX2"
"634","MA0690.1",5.2095707535528e-35,0.631467578041766,0.639,0.481,3.29765828699893e-32,"NE_2","TBX21"
"635","MA0690.1",6.0958226266725e-36,0.720782138901552,0.651,0.481,3.85865572268369e-33,"NE_3","TBX21"
"636","MA0691.1",6.62034722213729e-63,1.79652635844309,0.887,0.542,4.19067979161291e-60,"NFIB high_NE","TFAP4"
"637","MA0691.1",1.7108959887661e-07,0.660065010971507,0.78,0.553,0.000108299716088894,"NE_8","TFAP4"
"638","MA0691.1",1.42583338037544e-21,1.27128011714202,0.831,0.55,9.02552529777657e-19,"NE_7","TFAP4"
"639","MA0691.1",4.18079560615316e-73,0.95675222364663,0.849,0.528,2.64644361869495e-70,"NE_5","TFAP4"
"640","MA0691.1",2.84148988300274e-35,0.735946704332396,0.717,0.538,1.79866309594073e-32,"NE_4","TFAP4"
"641","MA0692.1",3.72735766546846e-06,0.552726362796638,0.696,0.483,0.00235941740224153,"Cilliated cells","TFEB"
"642","MA0692.1",4.38282138784616e-08,0.840391585463278,0.662,0.482,2.77432593850662e-05,"AT2 cells","TFEB"
"643","MA0692.1",2.86923666488673e-44,0.581535896923027,0.661,0.461,1.8162268088733e-41,"NE_3","TFEB"
"644","MA0692.1",4.19115119702045e-16,2.01151506721838,0.61,0.477,2.65299870771394e-13,"NE_6","TFEB"
"645","MA0692.1",7.56910337485251e-06,0.584473225789722,0.786,0.483,0.00479124243628164,"Endothelial cells","TFEB"
"646","MA0693.2",1.01168947494173e-136,1.04106627403707,0.746,0.431,6.40399437638113e-134,"Club cells_1","VDR"
"647","MA0693.2",1.11211321675401e-46,0.982781479680727,0.766,0.465,7.03967666205288e-44,"Club cell_2","VDR"
"648","MA0693.2",0.000110578116772928,0.534366510608455,0.62,0.478,0.0699959479172635,"AT2 cells","VDR"
"649","MA0693.2",4.96044005123876e-25,1.36816825691977,0.777,0.474,3.13995855243414e-22,"Club cells_3","VDR"
"650","MA0693.2",9.8321190387429e-09,1.28422226984216,0.707,0.478,6.22373135152426e-06,"Cilliated cells","VDR"
"651","MA0694.1",0.00011690024353111,1.32019625847435,0.774,0.486,0.0739978541551924,"Stromal cells","ZBTB7B"
"652","MA0694.1",0.000789618283410636,0.517745399096921,0.663,0.485,0.499828373398933,"Cilliated cells","ZBTB7B"
"653","MA0694.1",2.4263681067225e-08,1.38864388246713,0.833,0.485,1.53589101155535e-05,"Endothelial cells","ZBTB7B"
"654","MA0695.1",0.000190436700829027,0.645605691220707,0.609,0.489,0.120546431624774,"Cilliated cells","ZBTB7C"
"655","MA0695.1",0.000242391139058636,0.656269251615178,0.738,0.49,0.153433591024117,"Endothelial cells","ZBTB7C"
"656","MA0696.1",2.28867793202875e-39,0.641217766418533,0.704,0.479,1.4487331309742e-36,"NE_5","ZIC1"
"657","MA0696.1",4.9450924431045e-06,0.558661488545544,0.621,0.496,0.00313024351648515,"NE_7","ZIC1"
"658","MA0697.1",9.45333173614578e-08,0.634615252431375,0.739,0.499,5.98395898898028e-05,"Cilliated cells","ZIC3"
"659","MA0698.1",7.92384724288895e-41,0.689535885697216,0.746,0.544,5.0157953047487e-38,"NE_4","ZBTB18"
"660","MA0698.1",7.81374099749931e-30,1.85370638454025,0.904,0.557,4.94609805141706e-27,"NE_7","ZBTB18"
"661","MA0698.1",2.72769074180905e-68,1.14747900417764,0.829,0.539,1.72662823956513e-65,"NE_5","ZBTB18"
"662","MA0698.1",8.41573552412845e-07,0.835956901231173,0.81,0.561,0.000532716058677331,"NE_8","ZBTB18"
"663","MA0698.1",3.67600593763831e-35,0.632933501559659,0.839,0.552,2.32691175852505e-32,"NFIB high_NE","ZBTB18"
"664","MA0699.1",3.47737134257602e-58,1.88556189214404,0.813,0.482,2.20117605985062e-55,"NFIB high_NE","LBX2"
"665","MA0699.1",8.38420228867156e-17,1.26737155917132,0.636,0.487,5.3072000487291e-14,"NE_6","LBX2"
