"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Shank3",0,0.647810132161499,0.429,0.003,0,"Endothelial cells","Shank3"
"Egfl7",0,0.584620710849648,0.405,0,0,"Endothelial cells","Egfl7"
"Tmem100",0,0.5600000445734,0.381,0.001,0,"Endothelial cells","Tmem100"
"Acvrl1",0,0.512523647151734,0.381,0.001,0,"Endothelial cells","Acvrl1"
"Fgd5",0,0.46463844555943,0.333,0.001,0,"Endothelial cells","Fgd5"
"Adgrl4",0,0.413841588820616,0.31,0.001,0,"Endothelial cells","Adgrl4"
"Inmt",0,0.388700500874391,0.262,0,0,"Endothelial cells","Inmt"
"Nes",0,0.388358791957377,0.31,0,0,"Endothelial cells","Nes"
"Cldn5",0,0.387504873589216,0.31,0.001,0,"Endothelial cells","Cldn5"
"Clec1a",0,0.362399174327245,0.262,0,0,"Endothelial cells","Clec1a"
"Ushbp1",0,0.335090377337509,0.262,0,0,"Endothelial cells","Ushbp1"
"Ppp1r16b",1.52295786721847e-294,0.413670825366444,0.262,0.001,2.55019294865732e-290,"Endothelial cells","Ppp1r16b"
"Mctp1",1.61123192295146e-251,0.603245612396435,0.357,0.003,2.69800785498223e-247,"Endothelial cells","Mctp1"
"Fli1",9.31874918991386e-242,0.64423594336251,0.405,0.004,1.56042455185108e-237,"Endothelial cells","Fli1"
"Acer2",7.74709206182789e-239,0.436135626561177,0.357,0.003,1.29725056575308e-234,"Endothelial cells","Acer2"
"Ace",2.15801611699103e-216,0.577971942024947,0.405,0.005,3.61359798790148e-212,"Endothelial cells","Ace"
"Ncald",1.13126860171376e-205,0.919938979583029,0.69,0.017,1.8943092735697e-201,"Endothelial cells","Ncald"
"Rhoj",2.44310607967226e-184,0.358303514966514,0.286,0.003,4.09098113041119e-180,"Endothelial cells","Rhoj"
"Afap1l1",1.81720567417534e-169,0.738244413749814,0.524,0.012,3.04291090140661e-165,"Endothelial cells","Afap1l1"
"Stard9",1.0392428977907e-158,0.658978253820062,0.452,0.009,1.74021223235053e-154,"Endothelial cells","Stard9"
"Tek",4.12660703056748e-156,0.531939713397958,0.31,0.004,6.91000347268524e-152,"Endothelial cells","Tek"
"Adamts1",1.30782804481467e-134,0.328952691234103,0.262,0.003,2.18995806104216e-130,"Endothelial cells","Adamts1"
"Gpx3",2.93125970259653e-124,0.548778081958003,0.357,0.007,4.90839437199789e-120,"Endothelial cells","Gpx3"
"Prkch",1.1737131908684e-115,0.746664324811272,0.548,0.02,1.96538273810914e-111,"Endothelial cells","Prkch"
"Bmp6",7.74129154205648e-110,0.59153632529704,0.381,0.01,1.29627926871736e-105,"Endothelial cells","Bmp6"
"Smad6",1.51875413916184e-107,0.873178096204895,0.571,0.024,2.5431538060265e-103,"Endothelial cells","Smad6"
"Akap12",3.1818625286333e-94,0.723311459745121,0.5,0.021,5.32802880419646e-90,"Endothelial cells","Akap12"
"Galnt181",7.14263381774329e-87,1.06755269708626,0.643,0.039,1.19603403278111e-82,"Endothelial cells","Galnt18"
"Rapgef51",5.83519984185004e-86,0.601451076865714,0.452,0.019,9.77104213517788e-82,"Endothelial cells","Rapgef5"
"Col4a1",7.47525567015094e-75,0.598939857709664,0.429,0.019,1.25173156196678e-70,"Endothelial cells","Col4a1"
"Adgre5",3.339565399475e-68,0.40125937200085,0.286,0.009,5.59210226142088e-64,"Endothelial cells","Adgre5"
"Pakap.11",1.45609489352624e-66,0.96293201216357,0.643,0.051,2.43823089920969e-62,"Endothelial cells","Pakap.1"
"Epas11",3.97573935671956e-66,1.3637980836203,0.857,0.098,6.65737555282691e-62,"Endothelial cells","Epas1"
"Mapt",1.75168073691974e-65,0.594430649187941,0.429,0.022,2.93318939397211e-61,"Endothelial cells","Mapt"
"Pde4b",8.90048680631688e-63,0.608806912015851,0.452,0.026,1.49038651571776e-58,"Endothelial cells","Pde4b"
"Klf4",2.68054939559815e-62,0.578840966068712,0.476,0.029,4.48857996292911e-58,"Endothelial cells","Klf4"
"Itpkb",1.97333991883485e-61,0.48983290529392,0.357,0.016,3.30435769408896e-57,"Endothelial cells","Itpkb"
"Cd361",2.52260450057246e-57,0.369013967343249,0.286,0.011,4.22410123620858e-53,"Endothelial cells","Cd36"
"Col4a2",5.70251903510107e-56,0.54900930419949,0.405,0.023,9.54886812427674e-52,"Endothelial cells","Col4a2"
"Syne11",3.72988124333786e-53,1.23839377850186,0.881,0.126,6.24568614196924e-49,"Endothelial cells","Syne1"
"Sema3c",1.19372220520241e-51,0.925845402038241,0.595,0.056,1.99888783261143e-47,"Endothelial cells","Sema3c"
"Pitpnc1",8.8495160813218e-50,0.673437301027259,0.5,0.04,1.48185146781733e-45,"Endothelial cells","Pitpnc1"
"Dlc1",1.98744384585487e-44,0.477183173133601,0.452,0.036,3.32797471988399e-40,"Endothelial cells","Dlc1"
"Bmpr2",1.55016470120008e-43,0.899336727032367,0.762,0.106,2.59575079215953e-39,"Endothelial cells","Bmpr2"
"Atp1a2",5.77427695122553e-43,0.512671944035568,0.262,0.013,9.66902675482715e-39,"Endothelial cells","Atp1a2"
"Slco2a1",4.28856759960117e-36,0.406955203235376,0.31,0.021,7.18120644553216e-32,"Endothelial cells","Slco2a1"
"Ptprg",1.16822570703851e-35,0.713261755587791,0.429,0.042,1.95619394643598e-31,"Endothelial cells","Ptprg"
"Adgrf5",3.446415222225e-35,0.658468412509861,0.476,0.051,5.77102228961576e-31,"Endothelial cells","Adgrf5"
"Cemip2",6.91588812137334e-34,0.401455406088002,0.333,0.026,1.15806546592397e-29,"Endothelial cells","Cemip2"
"Fth1",9.99100201001e-33,0.562602171572099,0.381,0.035,1.67299328657617e-28,"Endothelial cells","Fth1"
"Dach1",2.75756158810388e-32,0.353922877430062,0.286,0.02,4.61753687927994e-28,"Endothelial cells","Dach1"
"Nckap54",4.3361799521295e-31,0.940748948661087,0.738,0.132,7.26093332984085e-27,"Endothelial cells","Nckap5"
"Tspan7",5.1130750592374e-31,0.452539801435775,0.31,0.025,8.56184418669303e-27,"Endothelial cells","Tspan7"
"Sptbn1",2.1051503216708e-30,1.05616887678606,0.786,0.174,3.52507421363776e-26,"Endothelial cells","Sptbn1"
"Nrp1",9.06316624878973e-29,0.538278382592618,0.405,0.045,1.51762718835984e-24,"Endothelial cells","Nrp1"
"Tgfbr3",1.57274522739332e-28,0.395810792283183,0.31,0.027,2.63356188327012e-24,"Endothelial cells","Tgfbr3"
"Prickle2",2.76833401793232e-26,0.44506683199708,0.31,0.029,4.63557531302767e-22,"Endothelial cells","Prickle2"
"Tmcc3",4.48936758883928e-24,0.354089691911475,0.262,0.023,7.51744602751138e-20,"Endothelial cells","Tmcc3"
"Klhl5",3.30841588749439e-23,0.373095246477307,0.286,0.028,5.53994240360935e-19,"Endothelial cells","Klhl5"
"Heg1",1.4713564257314e-22,0.3726351300515,0.357,0.043,2.46378633488723e-18,"Endothelial cells","Heg1"
"Ntn1",1.09146120287877e-21,0.317311284798707,0.286,0.029,1.82765178422049e-17,"Endothelial cells","Ntn1"
"Cmss15",1.1963386994466e-21,1.13876885080799,1,1,2.00326915222333e-17,"Endothelial cells","Cmss1"
"Cdk81",1.23233906782983e-19,1.14510364503744,1,0.98,2.06355176908105e-15,"Endothelial cells","Cdk8"
"Arhgef3",1.05558795008906e-18,0.580139030476513,0.381,0.06,1.76758202242413e-14,"Endothelial cells","Arhgef3"
"Dock91",3.0678758771887e-18,0.523136644032689,0.5,0.098,5.13715815635248e-14,"Endothelial cells","Dock9"
"Tns1",1.30279599414064e-17,0.542195502740277,0.357,0.055,2.18153189218851e-13,"Endothelial cells","Tns1"
"Hexb4",1.38877979170008e-17,0.91780557050541,1,0.999,2.32551176120179e-13,"Endothelial cells","Hexb"
"Arl15",3.49026213952455e-15,0.407303353153201,0.333,0.055,5.84444395263386e-11,"Endothelial cells","Arl15"
"Camk1d5",4.02041510942201e-15,0.8700979819858,1,1,6.73218510072715e-11,"Endothelial cells","Camk1d"
"Gm424182",1.09777525702824e-14,0.646769136517576,1,1,1.83822466789378e-10,"Endothelial cells","Gm42418"
"Lars23",1.29276575200771e-14,1.1867156274396,1,0.945,2.16473625173692e-10,"Endothelial cells","Lars2"
"Cald11",1.88622348101518e-14,0.288612227368893,0.286,0.042,3.15848121895992e-10,"Endothelial cells","Cald1"
"Samd12",6.99766777710368e-14,0.320764204827109,0.333,0.058,1.17175946927601e-09,"Endothelial cells","Samd12"
"Rasal2",1.45789296718688e-13,0.293980552483922,0.286,0.045,2.44124177355443e-09,"Endothelial cells","Rasal2"
"Arhgap31",6.59227092053211e-13,0.41536037519195,0.452,0.106,1.1038757656431e-08,"Endothelial cells","Arhgap31"
"Gphn1",6.94805109161899e-13,0.750162421373838,1,0.999,1.1634511552916e-08,"Endothelial cells","Gphn"
"Ghr",1.13869424770097e-12,0.477014406682614,0.452,0.109,1.90674351777527e-08,"Endothelial cells","Ghr"
"Smarca2",2.38840327297578e-12,0.446870955015336,0.31,0.058,3.99938128059794e-08,"Endothelial cells","Smarca2"
"Tmsb4x2",1.00833371652821e-11,0.568575176853729,0.357,0.079,1.6884548083265e-07,"Endothelial cells","Tmsb4x"
"Serinc3",1.59614222637941e-11,0.383286872278351,0.286,0.052,2.67274015807232e-07,"Endothelial cells","Serinc3"
"Tacc1",1.26508690688394e-10,0.30006211873058,0.286,0.055,2.11838802557716e-06,"Endothelial cells","Tacc1"
"Aff3",1.52630531305211e-10,0.36038519907076,0.31,0.065,2.55579824670576e-06,"Endothelial cells","Aff3"
"Tpt11",3.19624003305846e-10,0.368459829484595,0.333,0.076,5.35210393535639e-06,"Endothelial cells","Tpt1"
"Pard3b1",2.62227965859151e-09,0.332931697794053,0.381,0.1,4.39100728831148e-05,"Endothelial cells","Pard3b"
"Marcks3",5.1422289309584e-09,0.400582368215133,0.524,0.174,8.61066234488985e-05,"Endothelial cells","Marcks"
"Rplp1",8.31523170336797e-09,0.259836142464418,0.286,0.064,0.000139238554872897,"Endothelial cells","Rplp1"
"Apbb2",1.3197923827966e-08,0.339431209038368,0.286,0.067,0.000220999234499291,"Endothelial cells","Apbb2"
"Zeb1",9.78768269623564e-08,0.310879850031609,0.381,0.114,0.00163894746748466,"Endothelial cells","Zeb1"
"Numb",9.80532678614538e-08,0.354518321005587,0.286,0.073,0.00164190197034004,"Endothelial cells","Numb"
"Maml21",1.08668673340704e-07,0.29039945046471,0.429,0.135,0.0018196569350901,"Endothelial cells","Maml2"
"Actb1",1.6672410991365e-07,0.378576068121893,0.333,0.098,0.00279179522050407,"Endothelial cells","Actb"
"Macf13",2.30867732080342e-07,0.615350463691928,0.619,0.303,0.00386588017368532,"Endothelial cells","Macf1"
"Jund",2.70962200725954e-07,0.377155815504424,0.476,0.17,0.0045372620511561,"Endothelial cells","Jund"
"mt-Nd34",2.9624022233668e-07,0.628568517976876,1,0.965,0.0049605425230277,"Endothelial cells","mt-Nd3"
"Myo10",3.32264703778244e-07,0.344426195184421,0.286,0.078,0.0055637724647667,"Endothelial cells","Myo10"
"Cdc42bpb",2.68880908403279e-06,0.285339462309269,0.286,0.084,0.0450241081121291,"Endothelial cells","Cdc42bpb"
"9530026P05Rik1",1.72756339201513e-05,0.325289477143518,0.286,0.094,0.289280489992933,"Endothelial cells","9530026P05Rik"
"Cd442",0.00016129521294567,0.292916484751572,0.429,0.193,1,"Endothelial cells","Cd44"
"Ptprk2",0.000163146538131966,0.340474561129322,0.405,0.183,1,"Endothelial cells","Ptprk"
"Plcb11",0.000169955401010859,0.319124073865994,0.381,0.165,1,"Endothelial cells","Plcb1"
"Malat15",0.000386013884454605,0.321974299970385,1,0.997,1,"Endothelial cells","Malat1"
"mt-Atp63",0.000663836992438313,0.372522700934341,1,1,1,"Endothelial cells","mt-Atp6"
"Dgkh",0.000765526534551581,0.340304067780838,0.333,0.155,1,"Endothelial cells","Dgkh"
"Ptprm1",0.000787545234340338,0.266260538305211,0.452,0.231,1,"Endothelial cells","Ptprm"
"Plcb41",0.00274186142710273,0.264471318886449,0.452,0.252,1,"Endothelial cells","Plcb4"
"Son1",0.00418404716540768,0.262426670300159,0.476,0.281,1,"Endothelial cells","Son"
"Pdgfrb",0,1.08866239164839,0.419,0.001,0,"Stromal cells","Pdgfrb"
"Col1a1",0,0.926911321651774,0.548,0.001,0,"Stromal cells","Col1a1"
"Col3a1",0,0.902760891646836,0.452,0.001,0,"Stromal cells","Col3a1"
"Col1a2",0,0.799326295704222,0.452,0.001,0,"Stromal cells","Col1a2"
"Pdgfra",0,0.59970993184302,0.29,0,0,"Stromal cells","Pdgfra"
"Adamts2",0,0.566637143597489,0.419,0.002,0,"Stromal cells","Adamts2"
"Col5a1",0,0.367049175052745,0.258,0,0,"Stromal cells","Col5a1"
"Col5a2",1.73953553605231e-267,0.436585695068693,0.29,0.001,2.91285225511959e-263,"Stromal cells","Col5a2"
"Nox4",2.32437740244084e-267,0.366196367177295,0.29,0.001,3.89216996038718e-263,"Stromal cells","Nox4"
"Itga8",2.00489421677773e-253,0.503529389829013,0.29,0.001,3.35719536599431e-249,"Stromal cells","Itga8"
"Atp1a21",1.17271021739999e-219,1.46924986424765,0.677,0.012,1.96370325903628e-215,"Stromal cells","Atp1a2"
"Zeb2",5.90053343740281e-208,0.918580374336582,0.484,0.006,9.880443240931e-204,"Stromal cells","Zeb2"
"Pde3a",1.15250101568586e-172,0.364832922264578,0.258,0.002,1.92986295076597e-168,"Stromal cells","Pde3a"
"Mgp",1.06028181036175e-171,0.534076684151846,0.29,0.002,1.77544189145076e-167,"Stromal cells","Mgp"
"Mylk",2.38049712555591e-165,0.736207523693642,0.452,0.007,3.98614243674338e-161,"Stromal cells","Mylk"
"Adap2",5.11521977378642e-160,0.434200511415757,0.29,0.002,8.56543551120536e-156,"Stromal cells","Adap2"
"Lhfp",1.84047970902424e-146,0.621069365039283,0.387,0.005,3.08188327276109e-142,"Stromal cells","Lhfp"
"Prkg1",1.34899558889374e-141,1.20522615094007,0.677,0.019,2.25889311360256e-137,"Stromal cells","Prkg1"
"Csmd1",1.17209077586417e-118,1.80531038620863,0.516,0.013,1.96266600418455e-114,"Stromal cells","Csmd1"
"Slit3",8.78116316241651e-98,0.901558717955877,0.484,0.014,1.47040577154665e-93,"Stromal cells","Slit3"
"Fbn1",3.97493165238629e-82,0.680980708760645,0.29,0.006,6.65602305192085e-78,"Stromal cells","Fbn1"
"Prex21",1.87227813305417e-80,0.529486711965314,0.258,0.005,3.13512973379921e-76,"Stromal cells","Prex2"
"Rasl12",3.67867009034742e-77,0.497065234272936,0.258,0.005,6.15993306628676e-73,"Stromal cells","Rasl12"
"Col6a3",8.75955016109904e-70,0.429781319569325,0.258,0.005,1.46678667447603e-65,"Stromal cells","Col6a3"
"Pdzrn3",1.44831027542557e-58,0.60505143284616,0.387,0.015,2.42519555620011e-54,"Stromal cells","Pdzrn3"
"Igfbp7",9.30492013750278e-55,0.638492399914888,0.355,0.014,1.55810887702484e-50,"Stromal cells","Igfbp7"
"Slc1a3",1.31657382176849e-53,0.454087532626674,0.29,0.009,2.20460286455134e-49,"Stromal cells","Slc1a3"
"Dlc11",3.31025058231118e-52,1.15817385413541,0.548,0.036,5.54301460008006e-48,"Stromal cells","Dlc1"
"Slit2",4.81495893197021e-52,0.35600180085482,0.258,0.008,8.06264873158411e-48,"Stromal cells","Slit2"
"Cald12",4.85559432366766e-51,1.12623480618544,0.581,0.041,8.1306926949815e-47,"Stromal cells","Cald1"
"Gpx31",2.57806879410901e-48,0.586632260547887,0.258,0.008,4.31697619573554e-44,"Stromal cells","Gpx3"
"Col4a11",3.80754418235511e-45,0.628608019682115,0.387,0.02,6.37573273335363e-41,"Stromal cells","Col4a1"
"Gsn",4.35888695888125e-45,0.613965811213355,0.29,0.011,7.29895621264666e-41,"Stromal cells","Gsn"
"Antxr1",1.64883869262782e-37,0.514963380429916,0.29,0.014,2.76098039080529e-33,"Stromal cells","Antxr1"
"Mir99ahg",1.30432960572155e-35,0.682796002910988,0.484,0.04,2.18409992478074e-31,"Stromal cells","Mir99ahg"
"Hip1",1.52046199975836e-34,0.313224996786825,0.258,0.012,2.54601361859538e-30,"Stromal cells","Hip1"
"Fhl1",2.76119576788545e-31,0.347561014777899,0.258,0.013,4.62362231332418e-27,"Stromal cells","Fhl1"
"Cyp7b1",2.95023693031473e-29,0.749382509258883,0.387,0.032,4.94017173981202e-25,"Stromal cells","Cyp7b1"
"Flna",6.50296215221708e-29,0.438994688515513,0.323,0.022,1.08892101238875e-24,"Stromal cells","Flna"
"Tgfbr31",8.6413971778611e-29,0.524661209251081,0.355,0.027,1.44700195743284e-24,"Stromal cells","Tgfbr3"
"Eml1",1.02903853914641e-24,0.377976330221499,0.258,0.017,1.72312503380066e-20,"Stromal cells","Eml1"
"Tns11",7.22362351271511e-22,0.739580077925438,0.452,0.055,1.20959575720414e-17,"Stromal cells","Tns1"
"Col4a21",5.1754300493496e-21,0.329828222610041,0.29,0.024,8.66625761763591e-17,"Stromal cells","Col4a2"
"Ncald1",1.26173667620483e-20,0.370949389306642,0.258,0.02,2.11277806430498e-16,"Stromal cells","Ncald"
"Pakap1",2.6237245403786e-19,0.764296284229481,0.484,0.072,4.39342674286397e-15,"Stromal cells","Pakap"
"Tacc11",5.48111794246001e-16,0.542540453871917,0.387,0.055,9.17813199464928e-12,"Stromal cells","Tacc1"
"Peak1",1.90743154147228e-14,0.490967899360938,0.355,0.051,3.19399411619533e-10,"Stromal cells","Peak1"
"Nr2f2",1.52015805231487e-13,0.389450501541157,0.258,0.03,2.54550465860125e-09,"Stromal cells","Nr2f2"
"Morrbid",5.23505180388092e-12,0.512487974696352,0.323,0.052,8.76609424559861e-08,"Stromal cells","Morrbid"
"Heg11",1.87894090548536e-11,0.46964285443536,0.29,0.044,3.14628654623524e-07,"Stromal cells","Heg1"
"Fn11",5.21749912809338e-11,0.709492295856628,0.355,0.066,8.73670228999236e-07,"Stromal cells","Fn1"
"Plxdc2",9.14739897019825e-11,0.519249110895597,0.29,0.046,1.5317319575597e-06,"Stromal cells","Plxdc2"
"Rbms31",2.87354094348305e-10,0.833110677356055,0.677,0.235,4.81174430986237e-06,"Stromal cells","Rbms3"
"Itgb1",3.41811585111115e-09,0.389810612629676,0.355,0.075,5.72363499268563e-05,"Stromal cells","Itgb1"
"Sox51",6.07697879067797e-09,0.494069803460414,0.355,0.077,0.000101759009849903,"Stromal cells","Sox5"
"Cmss16",7.41661505954374e-09,0.69546369840176,1,1,0.00012419121917206,"Stromal cells","Cmss1"
"Plcl1",1.9501242768068e-08,0.555605364927262,0.258,0.047,0.000326548310151299,"Stromal cells","Plcl1"
"Camk1d6",5.60818260724634e-07,0.53848357637777,1,1,0.00939090177583399,"Stromal cells","Camk1d"
"Dpysl2",4.38152717529354e-06,0.36978155284088,0.355,0.103,0.0733686725502903,"Stromal cells","Dpysl2"
"Bcas3",4.88512470280772e-06,0.311046882254366,0.355,0.103,0.0818014131485153,"Stromal cells","Bcas3"
"Cacna1c2",7.45851349365253e-06,0.825043186278527,0.613,0.294,0.124892808451212,"Stromal cells","Cacna1c"
"Arhgap241",1.73278020807029e-05,0.410652162108379,0.323,0.098,0.29015404584137,"Stromal cells","Arhgap24"
"Rora",2.95300067808902e-05,0.349818305798975,0.484,0.182,0.494479963546006,"Stromal cells","Rora"
"Pard3b2",3.60343892343406e-05,0.411859684855281,0.323,0.101,0.603395847729034,"Stromal cells","Pard3b"
"Rrbp1",4.26825202316968e-05,0.476289623108017,0.645,0.31,0.714718801279763,"Stromal cells","Rrbp1"
"Gab2",4.53212544212698e-05,0.269145641520145,0.29,0.085,0.758904405284162,"Stromal cells","Gab2"
"Nfix1",0.000211370282473701,0.307648613690635,0.258,0.08,1,"Stromal cells","Nfix"
"Diaph2",0.000231321772325786,0.292842286876775,0.323,0.113,1,"Stromal cells","Diaph2"
"Ext11",0.000244338940396511,0.413237690305551,0.29,0.097,1,"Stromal cells","Ext1"
"Macf14",0.00028158434725137,1.28399430302791,0.516,0.304,1,"Stromal cells","Macf1"
"Cdk82",0.000331270567464209,0.581373811867899,1,0.98,1,"Stromal cells","Cdk8"
"Marcks4",0.000661587021387152,0.47895119322664,0.387,0.175,1,"Stromal cells","Marcks"
"Hexb5",0.000740146538583038,0.441673823164952,1,0.999,1,"Stromal cells","Hexb"
"Gm424183",0.00108621744060818,0.327386574538153,1,1,1,"Stromal cells","Gm42418"
"Cyfip1",0.00133886806842579,0.260869784497031,0.355,0.148,1,"Stromal cells","Cyfip1"
"Malat16",0.00160332096873037,0.523186602932118,1,0.997,1,"Stromal cells","Malat1"
"Sptbn11",0.00834925427528283,0.251536960724711,0.355,0.177,1,"Stromal cells","Sptbn1"
